id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
470134,b'King Of The Bongo (Breaks Mix) / Over (DnB Mix)',2.4, ,103,5.0,12.01,17.5,462,645,"Jan 11, 2022",10,https://www.discogs.com/release/470134
654994,b'No Good / Horny Disco Balls',2.4, ,80,4.38,11.96,24.0,316,584,"Jan 12, 2022",5,https://www.discogs.com/release/654994
1026694,b'One More Time / Simon Says',5.9, ,42,8.0,12.6,18.5,186,284,"Nov 7, 2021",3,https://www.discogs.com/release/1026694
135212,b'Time To Shuff EP',16.0, ,72,8.0,13.13,20.0,578,292,"Jan 13, 2022",8,https://www.discogs.com/release/135212
898569,b'Rockstar / Game Over',0.6, ,99,0.6,3.59,6.01,153,787,"Oct 26, 2021",16,https://www.discogs.com/release/898569
158717,"b""Burnin'""",12.0, ,72,12.0,15.0,24.99,505,545,"Dec 25, 2021",18,https://www.discogs.com/release/158717
153742,b'Tales From A Danceographic Ocean',7.99, ,38,6.9,11.95,16.5,254,173,"Oct 11, 2021",6,https://www.discogs.com/release/153742
1058605,b'All Eyez On Me',73.45, ,1075,26.28,47.34,105.19,3307,11669,"Jan 13, 2022",13,https://www.discogs.com/release/1058605
733408,b'Tunisian Nights',3.29, ,2,0.6,2.21,3.95,14,23,"Mar 13, 2020",11,https://www.discogs.com/release/733408
61888,b'Ich Rocke - Part One',2.0, ,43,1.0,2.5,15.0,63,384,"Jan 7, 2022",42,https://www.discogs.com/release/61888
464831,b'Champs Elys\xc3\xa9es (Sampler) (Part 2 Of 3)',1.79, ,13,0.59,2.39,8.77,71,131,"Nov 21, 2021",23,https://www.discogs.com/release/464831
339518,b'Trouble (Ltd. Edition Album Sampler 1)',1.0, ,28,1.01,2.39,4.88,30,235,"Oct 15, 2021",51,https://www.discogs.com/release/339518
15798848,b'Revolution Sampler',7.99, ,10,9.85,13.05,14.06,25,78,"Jul 31, 2021",12,https://www.discogs.com/release/15798848
87134,b'Vivos En La Muerte',1.19, ,12,0.35,2.25,6.01,45,98,"Nov 25, 2021",40,https://www.discogs.com/release/87134
21235,b'The Men On Wax E.P. Vol 1',3.4, ,50,1.29,4.8,9.6,167,226,"Aug 14, 2021",15,https://www.discogs.com/release/21235
427287,b'Phat Beats 181',4.0, ,6,1.5,3.53,5.89,53,64,"Jun 29, 2021",7,https://www.discogs.com/release/427287
397168,b'House Nation 187',2.5, ,6,0.9,3.61,18.35,37,90,"Jan 6, 2022",14,https://www.discogs.com/release/397168
711062,b'Phat Beats 194',14.99, ,9,1.0,4.79,15.18,77,53,"Oct 2, 2021",3,https://www.discogs.com/release/711062
560637,b'Phat Beats 198',2.5, ,6,2.25,3.8,8.4,33,42,"Jun 28, 2021",5,https://www.discogs.com/release/560637
426305,b'Phat Beats 200',7.0, ,8,3.59,5.86,9.9,54,45,"Sep 21, 2021",7,https://www.discogs.com/release/426305
547576,b'Phat Beats 201',2.4, ,3,1.2,2.69,6.01,34,44,"Jul 27, 2021",11,https://www.discogs.com/release/547576
560653,b'Phat Beats 206',2.99, ,3,1.0,3.74,7.2,31,43,"Oct 4, 2021",10,https://www.discogs.com/release/560653
889795,b'Phat Beats 210',8.75, ,6,1.55,5.99,18.02,51,48,"Nov 9, 2021",4,https://www.discogs.com/release/889795
2415832,b'DAT Vol 1: Your Love / Bombscare',4.68, ,12,5.88,5.99,7.21,25,72,"Jun 10, 2020",15,https://www.discogs.com/release/2415832
419961,b'The Rough And The Smooth',6.9, ,21,13.21,18.02,27.87,147,204,"Nov 1, 2021",13,https://www.discogs.com/release/419961
1709923,b'Grin And Wriggle',2.4, ,2,0.99,2.0,3.0,8,25,"Jul 3, 2019",13,https://www.discogs.com/release/1709923
2040596,"b'B-Boy Document / Mind, Soul & Body'",1.39, ,14,2.62,3.6,7.49,50,149,"Dec 30, 2021",15,https://www.discogs.com/release/2040596
1925297,b'Rock The Funky Beat',2.63, ,15,0.5,3.38,8.58,100,125,"Dec 17, 2021",5,https://www.discogs.com/release/1925297
202731,b'Woo Hah!! Got You All In Check',3.99, ,87,3.6,6.01,13.19,458,985,"Sep 21, 2021",21,https://www.discogs.com/release/202731
134360,b'Gossip Folks',0.5, ,26,1.0,4.0,6.49,89,448,"Nov 7, 2021",63,https://www.discogs.com/release/134360
5484265,b'Flash',2.5, ,14,1.5,4.95,7.5,42,200,"Dec 3, 2021",29,https://www.discogs.com/release/5484265
13115839,b'Delete / Big Man Skank (VIP)',4.07, ,17,5.1,6.01,10.81,73,132,"Oct 9, 2021",50,https://www.discogs.com/release/13115839
3880279,b'Bad 25',14.99, ,145,16.69,19.95,65.0,493,1397,"Nov 18, 2021",22,https://www.discogs.com/release/3880279
158831,"b""It's Just Another Groove""",0.44, ,18,1.39,3.99,5.0,154,171,"Jan 6, 2022",7,https://www.discogs.com/release/158831
70520,b'The Trip',1.0, ,20,0.6,1.24,3.1,66,153,"May 25, 2021",38,https://www.discogs.com/release/70520
19037,b'The Trip (Remixes)',1.0, ,35,1.19,2.45,7.99,82,292,"Nov 27, 2021",34,https://www.discogs.com/release/19037
